State a similarity between the characteristics of a frog and a crocodile.,yes
https://previews.123rf.com/images/blueringmedia/blueringmedia1212/blueringmedia121200077/16771568-black-and-white-sketch-of-a-frog.jpg' src= 'https://img.clipartxtras.com/836787cc4714e289b22a8e2c90185c15_luxury-of-alligator-clipart-black-and-white-letter-master-crocodile-clipart-black-and-white_1024-682.jpeg',yes
Both lay eggs,yes
Both have four legs,yes
Both are vertebrates,yes
Both shed their skin,yes
Both are cold blooded,yes
Both give birth to young alive,no
Both have three legs,no
Both have five legs,no
Both are invertebrates,no
Both do not shed their skin,no
Both are warm blooded,no
